user_id,name,TotalOrders,TotalAmountSpent,UniqueProductsPurchased,MostFrequentCategory
21,Amy Quinn,1,58.0,1,Intimates
29,Angela Blanchard,2,148.92000007629395,5,Intimates
54,Clinton Hansen,1,45.0,1,Socks
65,Meghan Osborn,1,10.0,1,Intimates
67,Jeffrey Martinez,1,10.0,1,Socks
68,Maria Benton,1,36.0,1,Plus
77,David Parsons,1,54.950000762939446,1,Tops & Tees
107,Gina Kim,1,30.0,1,Jeans
114,Vickie Garcia,1,10.989999771118164,1,Leggings
145,Michael Carpenter,1,97.93999862670898,2,Swim
153,Robin Anderson,1,248.0,1,Dresses
167,Christopher Johnson,1,25.0,1,Accessories
174,Ray Thompson,1,114.98999786376952,1,Jeans
187,Thomas Larson,3,188.93999862670898,3,Fashion Hoodies & Sweatshirts
193,Amanda Myers,1,34.0,1,Intimates
202,Christopher Moreno,1,66.5,1,Suits & Sport Coats
207,Denise Holmes,1,89.0,1,Pants & Capris
218,Kimberly Fry,1,32.0,1,Intimates
223,Jacob Harris,1,200.0,1,Outerwear & Coats
270,Teresa Morgan,1,102.90000152587892,1,Plus
285,Mark Valenzuela,1,177.9799976348877,3,Outerwear & Coats
307,Daniel Burch,1,43.9900016784668,1,Swim
308,Gabriel Wilson,1,68.0,1,Pants
321,James Blake,1,24.0,1,Active
340,Michelle Hill,1,73.98999977111816,2,Fashion Hoodies & Sweatshirts
342,Gerald Mills,1,28.0,1,Underwear
356,Timothy White,1,39.5,1,Underwear
377,Robert Woodard,1,12.079999923706056,1,Socks
388,Tracy Henderson,1,43.97999954223633,1,Dresses
390,Elizabeth Ibarra,1,39.950000762939446,1,Fashion Hoodies & Sweatshirts
412,Lucas Butler,1,181.0999984741211,2,Active
418,Christopher Sullivan,1,129.0,1,Jeans
426,Kristen Lewis,1,16.950000762939453,1,Active
427,Kelly Burch,2,38.989999771118164,2,Intimates
441,Brenda Rivas,1,49.9900016784668,1,Dresses
455,Kenneth Smith,2,126.5200023651123,3,Fashion Hoodies & Sweatshirts
458,Alexis Stewart,1,15.899999618530272,1,Intimates
474,Brandon Barnett,1,54.9900016784668,1,Pants
482,Philip Gaines,1,172.0800018310547,3,Outerwear & Coats
510,Alyssa Moore,1,30.80999946594239,2,Intimates
520,Joshua Hess,1,98.0,1,Pants
535,Kimberly Wright,1,32.08000183105469,1,Shorts
571,Daniel White,1,157.05999946594238,2,Shorts
611,David Hines,2,419.3500061035156,5,Jeans
612,Alex Holmes,1,36.0,1,Underwear
613,Robert Rogers,1,157.78000259399414,4,Fashion Hoodies & Sweatshirts
615,Catherine Bowman,1,38.0,1,Leggings
654,Ryan Hughes,1,39.9900016784668,1,Shorts
657,Heather Best,1,36.9900016784668,1,Swim
674,William Gallagher,1,79.98999786376953,1,Jeans
679,Crystal Smith,1,22.93000030517578,1,Socks & Hosiery
692,Amy Berry,1,206.97999954223633,2,Jeans
697,Anthony Anderson,1,50.0,1,Shorts
700,James Miller,1,18.0,1,Underwear
702,Krista Shields,1,13.789999961853027,1,Plus
719,Caleb Joseph,1,6.25,1,Accessories
723,Stanley Jones,1,31.989999771118164,1,Socks
741,Jennifer Collins,1,33.9900016784668,1,Sleep & Lounge
744,Sandra Taylor,1,157.5900001525879,2,Dresses
747,Jason Blake,1,35.83000183105469,1,Accessories
755,Carrie Murray,1,25.5,1,Socks & Hosiery
756,Christopher Lyons,1,50.96999931335449,2,Swim
759,Maria Ali,1,92.88000297546387,4,Intimates
787,Peter Estes,1,174.9499969482422,2,Jeans
808,Julie Weeks,1,150.0,1,Swim
818,Holly Hopkins,1,51.75,1,Maternity
830,Amanda Hawkins,1,98.67000198364258,3,Intimates
837,Corey Yates,2,261.4900016784668,4,Active
844,Anthony Caldwell,1,244.9499969482422,2,Fashion Hoodies & Sweatshirts
857,Garrett Beck,1,75.0,1,Fashion Hoodies & Sweatshirts
869,Zachary Collins,2,49.97999954223633,2,Pants
893,Amanda Lawrence,2,217.95000076293945,2,Intimates
894,Henry Robbins,1,39.5,1,Tops & Tees
943,Renee Montgomery,1,119.5,1,Suits
960,Sherry Kelley,1,134.98999977111816,2,Dresses
967,Lorraine Green,1,46.54999923706056,1,Sweaters
974,Michelle Anderson,1,51.620001792907715,2,Dresses
992,Miguel Tate,1,51.2400016784668,2,Sweaters
1001,Tammy Brown,1,46.0,1,Fashion Hoodies & Sweatshirts
1012,Hannah Allen,2,65.85000038146973,3,Accessories
1027,Heather Matthews,1,118.0,1,Maternity
1048,Nathan Spencer,1,155.0,1,Jeans
1076,Michael Goodwin,1,39.9900016784668,1,Tops & Tees
1099,Jeanne Gilbert,1,295.92999267578125,1,Sweaters
1102,Jamie Stewart,1,430.9799919128418,3,Dresses
1111,Lisa Johnson,1,79.0,1,Blazers & Jackets
1116,Dennis Young,1,17.989999771118164,1,Accessories
1133,Drew Thornton,2,174.85000038146973,6,Accessories
1144,Alvin Walker,1,78.0,1,Fashion Hoodies & Sweatshirts
1147,Joseph Glover,1,233.0,1,Accessories
1157,Robert Berg,1,26.0,1,Underwear
1159,Steve Ortiz,1,54.5,1,Shorts
1177,Cheryl Maynard,1,64.98000144958496,2,Leggings
1182,Benjamin Church,1,59.9900016784668,1,Sweaters
1184,Vicki Wagner,1,12.979999542236328,1,Leggings
1195,Larry Chambers,1,14.399999618530272,1,Socks
1215,Andrew Adams,1,200.0,1,Accessories
1225,Brittney Castro,1,79.45000076293945,2,Skirts
1236,Jill Hoffman,1,70.0,1,Sleep & Lounge
1248,Jerome Rivera,1,146.18999862670898,2,Pants
1251,Michael Cisneros,1,164.4800033569336,3,Pants
1266,Kathleen Pineda,1,37.43999862670898,1,Intimates
1292,Mark Solis,1,127.9900016784668,3,Sleep & Lounge
1298,Maria Munoz,1,218.0,1,Blazers & Jackets
